isolate,leafsp,trt,area,lesion1,lesion2,lesion3,totlesion,Unattributed infection area,Percent Infected Attributed Only,Percent Infected Attributed + Unnattributed,AB_Notes,VM_Notes,0% infection
713 Propta,Dendar,Control 5,1643.377,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Mourmy,1,202.54,3.6,2.83,5.29,11.72,0,5.79%,5.79%,,,
713 Propta,Mourmy,2,255.784,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Mourmy,3,149.032,2.66,2.291,3.144,8.095,0.618,5.43%,5.85%,I think that there's no infection but double check,,yes
713 Propta,Mourmy,4,149.149,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Mourmy,5,117.002,4.43,3.271,0,7.701,0,6.58%,6.58%,Leaf dried out partially,,
713 Propta,Mourmy,Control 1,186.12,3.788,3.354,2.903,10.045,0,5.40%,5.40%,small infections? or just how puncture looks,I'll count it. ,
713 Propta,Mourmy,Control 2,144.15,3.694,4.275,3.182,11.151,0,7.74%,7.74%,small infections? or just how puncture looks,,
713 Propta,Mourmy,Control 3,176.139,2.877,2.172,2.464,7.513,0,4.27%,4.27%,small infections? or just how puncture looks,,
713 Propta,Mourmy,Control 4,99.482,2.075,2.556,1.614,6.245,0,6.28%,6.28%,small infections? or just how puncture looks,,
713 Propta,Mourmy,Control 5,129.222,2.955,2.54,3.252,8.747,0,6.77%,6.77%,small infections? or just how puncture looks,,
713 Propta,Ormoma,1,2586.882,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Ormoma,2,2283.82,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Ormoma,3,4711.21,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Ormoma,4,4352.27,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Ormoma,5,2300.322,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Ormoma,Control 1,2229.84,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Ormoma,Control 2,3160.381,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Ormoma,Control 3,3966.919,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Ormoma,Control 4,3307.762,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Ormoma,Control 5,3814.358,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Randar,1,786.225,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Randar,2,1032.855,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Randar,3,877.623,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Randar,4,956.789,4.059,0,0,4.059,0,0.42%,0.42%,I think that there's no infection but double check,I thought the wet one looked promising,
713 Propta,Randar,5,1056.852,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Randar,Control 1,1619.537,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Randar,Control 2,1239.915,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Randar,Control 3,798.414,0,0,0,0,0,0.00%,0.00%,,,yes
