isolate,leafsp,trt,area,lesion1,lesion2,lesion3,totlesion,Unattributed infection area,Percent Infected Attributed Only,Percent Infected Attributed + Unnattributed,AB_Notes,VM_Notes,0% infection
5323 Laciag,Randar,2,618.9,0,0,0,0,618.9,0.00%,100.00%,"very dry, slightly wrinkled",,
5323 Laciag,Randar,3,1300.86,966.727,0,0,966.727,0,74.31%,74.31%,,,
5323 Laciag,Randar,4,923.188,898.651,0,0,898.651,0,97.34%,97.34%,,,
5323 Laciag,Randar,5,847.122,15.328,5.431,0,20.759,0,2.45%,2.45%,,,
5323 Laciag,Randar,Control 1,751.265,0,0,0,0,0,0.00%,0.00%,,,yes
5323 Laciag,Randar,Control 2,803.997,160.709,0,0,160.709,0,19.99%,19.99%,,,
5323 Laciag,Randar,Control 3,692.787,639.135,0,0,639.135,0,92.26%,92.26%,,,
5323 Laciag,Randar,Control 4,790.25,482.085,0,0,482.085,0,61.00%,61.00%,dried out,,
5323 Laciag,Randar,Control 5,1115.97,0,0,0,0,115.97,0.00%,10.39%,dark and dried out,,
5323 Laciag,Soroaf,1,1554.274,0,0,0,0,0,0.00%,0.00%,very dry and spotted,,yes
5323 Laciag,Soroaf,2,2712.087,0,0,0,0,2712.087,0.00%,100.00%,very dry and spotted and darker,,
5323 Laciag,Soroaf,3,1996.635,0,0,0,0,1996.635,0.00%,100.00%,very dry and spotted and darker,,
5323 Laciag,Soroaf,4,1525.189,0,0,0,0,1525.189,0.00%,100.00%,very dry and spotted and darker,,
5323 Laciag,Soroaf,5,4029.084,0,0,0,0,4029.084,0.00%,100.00%,very dry and spotted and darker,,
5323 Laciag,Soroaf,Control 1,3201.4,0,0,0,0,0,0.00%,0.00%,leaf slightly dry and spotted,,yes
5323 Laciag,Soroaf,Control 2,1627.8,0,0,0,0,0,0.00%,0.00%,leaf slightly dry and spotted,,yes
5323 Laciag,Soroaf,Control 3,3821.369,0,0,0,0,0,0.00%,0.00%,slightly dry,,yes
5323 Laciag,Soroaf,Control 4,559.687,0,0,0,0,0,0.00%,0.00%,leaf extremely dried out and curled,,yes
5323 Laciag,Soroaf,Control 5,2952.731,0,0,0,0,0,0.00%,0.00%,leaf is dried out and a little spotted,,yes
5324 Propta,Aspicr,1,10467.146,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Aspicr,2,3928.48,471.488,602.404,0,1073.892,0,27.34%,27.34%,,,
5324 Propta,Aspicr,3,5158.643,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Aspicr,4,6818.132,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Aspicr,5,4798.132,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Aspicr,Control 1,3953.336,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Aspicr,Control 2,4791.027,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Aspicr,Control 3,5128.569,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Aspicr,Control 4,7726.648,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Aspicr,Control 5,8032.094,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Castel,1,9249.397,180.91,0,0,180.91,909.805,1.96%,11.79%,,,
5324 Propta,Castel,2,15676.039,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Castel,3,8815.441,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Castel,4,7065.774,0,0,0,0,7065.774,0.00%,100.00%,yellowish and spotty all over,,
5324 Propta,Castel,5,6341.285,0,0,0,0,0,0.00%,0.00%,tip dried ,,yes
5324 Propta,Castel,Control 1,13781.714,0,0,0,0,681.526,0.00%,4.95%,,,
5324 Propta,Castel,Control 2,19332.627,0,0,0,0,2796.086,0.00%,14.46%,,,
5324 Propta,Castel,Control 3,14736.366,0,0,0,0,1943.621,0.00%,13.19%,,,
5324 Propta,Castel,Control 4,8431.074,0,0,0,0,457.855,0.00%,5.43%,,,
5324 Propta,Castel,Control 5,11241.539,0,0,0,0,393.441,0.00%,3.50%,,,
5324 Propta,Dendar,1,10213.02,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Dendar,2,15181.884,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Dendar,3,9712.606,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Dendar,4,14367.788,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Dendar,5,14951.137,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Dendar,Control 1,16814.501,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Dendar,Control 2,6357.896,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Dendar,Control 3,12409.215,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Dendar,Control 4,19788.866,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Dendar,Control 5,14108.992,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Mourmy,1,164.882,0,0,0,0,0,0.00%,0.00%,,,
5324 Propta,Mourmy,2,265.757,10.151,10.61,8.787,29.548,0,11.12%,11.12%,,,
5324 Propta,Mourmy,3,254.056,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Mourmy,4,256.605,247.894,0,0,247.894,0,96.61%,96.61%,,,
5324 Propta,Mourmy,5,261.496,44.984,0,0,44.984,0,17.20%,17.20%,,,
5324 Propta,Mourmy,Control 1,169.075,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Mourmy,Control 2,179.265,10.165,0,0,10.165,0,5.67%,5.67%,,,
5324 Propta,Mourmy,Control 3,174.381,164.546,0,0,164.546,0,94.36%,94.36%,,,
5324 Propta,Mourmy,Control 4,136.156,51.04,0,0,51.04,0,37.49%,37.49%,,,
5324 Propta,Mourmy,Control 5,238.894,4.561,6.812,1.713,13.086,0,5.48%,5.48%,,,
5324 Propta,Ormoma,1,6209.464,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Ormoma,2,7400.845,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Ormoma,3,4800.406,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Ormoma,4,4353.787,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Ormoma,5,5037.096,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Ormoma,Control 1,6224.6,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Ormoma,Control 2,6959.126,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Ormoma,Control 3,4540.717,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Ormoma,Control 4,7759.043,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Ormoma,Control 5,9444.333,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Randar,1,1316.685,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Randar,2,867.923,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Randar,3,1585.34,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Randar,4,1039.445,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Randar,5,918.084,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Randar,Control 1,1441.61,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Randar,Control 2,1406.882,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Randar,Control 3,920.485,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Randar,Control 4,1580.273,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Randar,Control 5,1467.179,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Tri2pa,1,1130.777,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Tri2pa,2,1904.036,0,0,0,0,0,0.00%,0.00%,slightly spotted,,yes
5324 Propta,Tri2pa,3,2079.073,0,0,0,0,0,0.00%,0.00%,slightly spotted,,yes
5324 Propta,Tri2pa,4,2105.506,0,0,0,0,0,0.00%,0.00%,slightly dried out tip,,yes
5324 Propta,Tri2pa,5,1910.548,0,0,0,0,0,0.00%,0.00%,tip slightly dried out,,yes
5324 Propta,Tri2pa,Control 1,1878.851,0,0,0,0,0,0.00%,0.00%,,,yes
5324 Propta,Tri2pa,Control 2,865.429,0,0,0,0,0,0.00%,0.00%,slightly yellow leaf,,yes
5324 Propta,Tri2pa,Control 3,2363.374,0,0,0,0,0,0.00%,0.00%,slightly spotted,,yes
5324 Propta,Tri2pa,Control 4,1449.961,0,0,0,0,0,0.00%,0.00%,slightly yellow leaf,,yes
5324 Propta,Tri2pa,Control 5,1549.715,0,0,0,0,0,0.00%,0.00%,,,yes
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
