"","leafsp","trt","area","lesion1","lesion2","lesion3","totlesion","Unattributed.infection.area","tot.lesion","percent.infection","X","medMAP","hostorigin","minMAP","maxMAP","rangeMAP","Isolate","code","Bosque","pathogenorigin","DRY_DEFICIT","percent0","control","delete","cntrls","difference"
"48","mourmy","2",255.784,0,0,0,0,"0",0,0,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"713Propta","7","Sherman",3203,-491.669,0,"live","Control",0.0773569198751301,-0.0773569198751301
"49","mourmy","3",149.032,2.66,2.291,3.144,8.095,"0.618",8.095,0.0543171936228461,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"713Propta","7","Sherman",3203,-491.669,1,"live","Control",0.042653813181635,0.0116633804412111
"50","mourmy","4",149.149,0,0,0,0,"0",0,0,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"713Propta","7","Sherman",3203,-491.669,0,"live","Control",0.0627751754086166,-0.0627751754086166
"51","mourmy","5",117.002,4.43,3.271,0,7.701,"0",7.701,0.0658193877027743,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"713Propta","7","Sherman",3203,-491.669,1,"live","Control",0.0676897122780951,-0.00187032457532076
"52","ormoma","1",2586.882,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"713Propta","7","Sherman",3203,-491.669,0,"live","Control",0,0
"53","ormoma","2",2283.82,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"713Propta","7","Sherman",3203,-491.669,0,"live","Control",0,0
"54","ormoma","3",4711.21,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"713Propta","7","Sherman",3203,-491.669,0,"live","Control",0,0
"55","ormoma","4",4352.27,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"713Propta","7","Sherman",3203,-491.669,0,"live","Control",0,0
"56","ormoma","5",2300.322,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"713Propta","7","Sherman",3203,-491.669,0,"live","Control",0,0
"57","randar","1",786.225,0,0,0,0,"0",0,0,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"713Propta","7","Sherman",3203,-491.669,0,"live","Control",0,0
"58","randar","2",1032.855,0,0,0,0,"0",0,0,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"713Propta","7","Sherman",3203,-491.669,0,"live","Control",0,0
"59","randar","3",877.623,0,0,0,0,"0",0,0,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"713Propta","7","Sherman",3203,-491.669,0,"live","Control",0,0
"60","randar","4",956.789,4.059,0,0,4.059,"0",4.059,0.00424231465871786,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"713Propta","7","Sherman",3203,-491.669,1,"live","Control",0.0273136798485402,-0.0230713651898224
"61","randar","5",1056.852,0,0,0,0,"0",0,0,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"713Propta","7","Sherman",3203,-491.669,0,"live","Control",0.036888905257856,-0.036888905257856
"62","tri2pa","1",1280.004,0,0,0,0,"0",0,0,9,2050.593,2157.9315,2037.433,2602.37,564.937,"713Propta","7","Sherman",3203,-491.669,0,"live","Control",0,0
"63","tri2pa","2",2289.999,0,0,0,0,"0",0,0,9,2050.593,2157.9315,2037.433,2602.37,564.937,"713Propta","7","Sherman",3203,-491.669,0,"live","Control",0,0
"64","tri2pa","3",1990.916,0,0,0,0,"0",0,0,9,2050.593,2157.9315,2037.433,2602.37,564.937,"713Propta","7","Sherman",3203,-491.669,0,"live","Control",0,0
"65","tri2pa","4",2289.069,0,0,0,0,"0",0,0,9,2050.593,2157.9315,2037.433,2602.37,564.937,"713Propta","7","Sherman",3203,-491.669,0,"live","Control",0,0
"66","tri2pa","5",2482.531,0,0,0,0,"0",0,0,9,2050.593,2157.9315,2037.433,2602.37,564.937,"713Propta","7","Sherman",3203,-491.669,0,"live","Control",0,0
"67","aspicr","1",4086.147,0,0,0,0,"0",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"1217Anacex","1","Metropolitano",1874,-574.926,0,"live","Control",0,0
"68","aspicr","2",5429.117,29.232,34.734,19.89,83.856,"0",83.856,0.0154456056113729,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live","Control",0,0.0154456056113729
"69","aspicr","3",4075.786,0,0,3708.799,3708.799,"0",3708.799,0.909959207868127,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live","Control",0,0.909959207868127
"70","aspicr","4",3082.796,0,0,0,0,"0",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"1217Anacex","1","Metropolitano",1874,-574.926,0,"live","Control",0,0
"71","aspicr","5",6520.352,0,0,0,3866.316,"0",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"1217Anacex","1","Metropolitano",1874,-574.926,0,"live","Control",0,0
"72","castel","1",5545.765,26.487,67.406,165.475,259.368,"2166.938",259.368,0.046768660410241,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live","Control",0,0.046768660410241
"73","castel","2",4504.702,0,0,0,0,"4504.702",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"1217Anacex","1","Metropolitano",1874,-574.926,0,"live","Control",0,0
"74","castel","3",1400.643,0,0,0,0,"1400.643",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"1217Anacex","1","Metropolitano",1874,-574.926,0,"live","Control",0,0
"75","castel","4",1718.752,0,0,0,0,"1718.752",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"1217Anacex","1","Metropolitano",1874,-574.926,0,"live","Control",0,0
"76","castel","5",2331.82,0,0,0,0,"2331.82",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"1217Anacex","1","Metropolitano",1874,-574.926,0,"live","Control",0,0
"77","dendar","1",4162.012,45.318,0,0,45.318,"0",45.318,0.0108884837429589,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live","Control",0,0.0108884837429589
"78","dendar","2",3448.586,56.288,0,0,56.288,"0",56.288,0.0163220519946436,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live","Control",0,0.0163220519946436
"79","dendar","3",3401.762,22.214,36.839,0,59.053,"0",59.053,0.0173595330890286,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live","Control",0,0.0173595330890286
"80","dendar","4",5366.314,0,0,0,0,"0",0,0,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"1217Anacex","1","Metropolitano",1874,-574.926,0,"live","Control",0,0
"81","dendar","5",3933.757,23.165,0,0,23.165,"0",23.165,0.00588877248899716,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live","Control",0,0.00588877248899716
"82","mourmy","1",775.947,17.142,12.625,4.835,34.602,"0",34.602,0.0445932518586965,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live","Control",0,0.0445932518586965
"83","mourmy","2",588.009,203.518,0,0,203.518,"0",203.518,0.346113749959609,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live","Control",0,0.346113749959609
"84","mourmy","3",346.06,0,0,0,0,"346.06",0,0,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"1217Anacex","1","Metropolitano",1874,-574.926,0,"live","Control",0,0
"85","mourmy","4",496.256,47.322,30.781,47.72,125.823,"0",125.823,0.253544541526954,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live","Control",0,0.253544541526954
"86","mourmy","5",532.613,172.677,0,0,172.677,"0",172.677,0.324207257427062,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live","Control",0.0265494304718947,0.297657826955168
"87","ormoma","1",5753.951,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"1217Anacex","1","Metropolitano",1874,-574.926,0,"live","Control",0,0
"88","ormoma","2",10173.427,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"1217Anacex","1","Metropolitano",1874,-574.926,0,"live","Control",0,0
"89","ormoma","3",8638.764,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"1217Anacex","1","Metropolitano",1874,-574.926,0,"live","Control",0,0
"90","ormoma","4",7134.813,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"1217Anacex","1","Metropolitano",1874,-574.926,0,"live","Control",0,0
"91","ormoma","5",5010.458,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"1217Anacex","1","Metropolitano",1874,-574.926,0,"live","Control",0,0
"92","randar","1",2362.734,2362.734,0,0,2362.734,"0",2362.734,1,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live","Control",0,1
"93","randar","2",2314.171,2314.171,0,0,2314.171,"0",2314.171,1,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live","Control",0,1
"94","randar","3",3733.332,3634.77,0,0,3634.77,"0",3634.77,0.973599454856948,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live","Control",0,0.973599454856948
"95","randar","4",2643.523,2643.523,0,0,2643.523,"0",2643.523,1,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live","Control",0,1
