"","leafsp","trt","area","lesion1","lesion2","lesion3","totlesion","Unattributed.infection.area","tot.lesion","percent.infection","X","medMAP","hostorigin","minMAP","maxMAP","rangeMAP","Isolate","code","Bosque","pathogenorigin","DRY_DEFICIT","percent0","control"
"106","mourmy","Control 1",186.12,3.788,3.354,2.903,10.045,"0",10.045,0.0539705566301311,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"713Propta","7","Sherman",3203,-491.669,1,"cntrl"
"107","mourmy","Control 2",144.15,3.694,4.275,3.182,11.151,"0",11.151,0.0773569198751301,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"713Propta","7","Sherman",3203,-491.669,1,"cntrl"
"108","mourmy","Control 3",176.139,2.877,2.172,2.464,7.513,"0",7.513,0.042653813181635,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"713Propta","7","Sherman",3203,-491.669,1,"cntrl"
"109","mourmy","Control 4",99.482,2.075,2.556,1.614,6.245,"0",6.245,0.0627751754086166,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"713Propta","7","Sherman",3203,-491.669,1,"cntrl"
"110","mourmy","Control 5",129.222,2.955,2.54,3.252,8.747,"0",8.747,0.0676897122780951,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"713Propta","7","Sherman",3203,-491.669,1,"cntrl"
"111","ormoma","1",2586.882,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"713Propta","7","Sherman",3203,-491.669,0,"live"
"112","ormoma","2",2283.82,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"713Propta","7","Sherman",3203,-491.669,0,"live"
"113","ormoma","3",4711.21,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"713Propta","7","Sherman",3203,-491.669,0,"live"
"114","ormoma","4",4352.27,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"713Propta","7","Sherman",3203,-491.669,0,"live"
"115","ormoma","5",2300.322,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"713Propta","7","Sherman",3203,-491.669,0,"live"
"116","ormoma","Control 1",2229.84,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"713Propta","7","Sherman",3203,-491.669,0,"cntrl"
"117","ormoma","Control 2",3160.381,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"713Propta","7","Sherman",3203,-491.669,0,"cntrl"
"118","ormoma","Control 3",3966.919,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"713Propta","7","Sherman",3203,-491.669,0,"cntrl"
"119","ormoma","Control 4",3307.762,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"713Propta","7","Sherman",3203,-491.669,0,"cntrl"
"120","ormoma","Control 5",3814.358,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"713Propta","7","Sherman",3203,-491.669,0,"cntrl"
"121","randar","1",786.225,0,0,0,0,"0",0,0,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"713Propta","7","Sherman",3203,-491.669,0,"live"
"122","randar","2",1032.855,0,0,0,0,"0",0,0,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"713Propta","7","Sherman",3203,-491.669,0,"live"
"123","randar","3",877.623,0,0,0,0,"0",0,0,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"713Propta","7","Sherman",3203,-491.669,0,"live"
"124","randar","4",956.789,4.059,0,0,4.059,"0",4.059,0.00424231465871786,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"713Propta","7","Sherman",3203,-491.669,1,"live"
"125","randar","5",1056.852,0,0,0,0,"0",0,0,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"713Propta","7","Sherman",3203,-491.669,0,"live"
"126","randar","Control 1",1619.537,0,0,0,0,"0",0,0,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"713Propta","7","Sherman",3203,-491.669,0,"cntrl"
"127","randar","Control 2",1239.915,0,0,0,0,"0",0,0,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"713Propta","7","Sherman",3203,-491.669,0,"cntrl"
"128","randar","Control 3",798.414,0,0,0,0,"0",0,0,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"713Propta","7","Sherman",3203,-491.669,0,"cntrl"
